FROM	pos	TO	pos
1-1	185/115	1-2	185/20
1-2	20/20	1-1	185/115
1-2	185/20	1-3	20/115
1-2	185/115	1-4	20/20
1-3	20/20	LOW	???
1-3	185/20	2-3	20/115
1-3	185/115	1-4	185/20
1-4	20/20	1-2	185/115
1-4	185/20	1-3	185/115
1-4	185/115	3-4	20/20
1-4	190/60	4-1	15/60
1-5	20/20	1-6	185/115
1-5	20/115	1-7	185/20
1-5	100/120	4-5	70/135
1-5	190/60	4-4	70/135
1-6	20/115	1-8	185/20
1-6	185/115	1-5	185/115
1-7	20/20	1-8	185/115
1-7	185/20	1-5	20/115
1-8	185/20	1-6	20/115
1-8	185/115	1-7	20/20
2-1	20/115	2-2	185/20
2-2	20/115	2-3	185/20
2-2	185/20	2-1	20/115
2-2	185/115	2-4	20/20
2-3	20/20	LOW	???
2-3	20/115	1-3	185/20
2-3	185/20	2-2	20/115
2-3	185/115	2-4	185/20
2-4	20/20	2-2	185/115
2-4	20/115	3-3	20/20
2-4	100/120	4-2	100/15
2-4	185/20	2-3	185/115
2-5	20/20	2-6	20/115
2-5	20/115	4-4	280/13
2-5	185/20	2-7	20/115
2-5	185/115	4-5	280/13
2-6	20/115	2-5	20/20
2-6	185/20	2-8	20/115
2-7	20/115	2-5	185/20
2-7	185/20	2-8	185/115
2-8	20/115	2-6	185/20
2-8	185/115	2-7	185/20
3-1	20/20	3-2	185/115
3-2	20/20	3-4	185/115
3-2	185/20	3-3	185/115
3-2	185/115	3-1	20/20
3-3	20/20	2-4	20/115
3-3	20/115	3-4	185/20
3-3	185/20	LOW	???
3-3	185/115	3-2	185/20
3-4	20/20	1-4	20/115
3-4	100/15	4-3	190/60
3-4	185/20	3-3	20/115
3-4	185/115	3-2	20/20
3-5	20/20	4-4	280/251
3-5	20/115	3-6	20/20
3-5	165/15	4-5	280/256
3-5	185/115	3-7	20/115
3-6	20/20	3-5	20/115
3-6	185/115	3-8	20/115
3-7	20/115	3-5	185/115
3-7	185/115	3-8	20/20
3-8	20/20	3-7	185/115
3-8	20/115	3-6	185/115
4-1	15/60	1-4	190/60
4-1	105/67	4-4	192/135
4-1	185/20	4-2	20/115
4-1	185/115	4-3	20/115
4-2	20/115	4-1	185/20
4-2	100/15	2-4	100/120
4-2	105/67	4-4	219/119
4-2	185/115	4-3	20/20
4-3	20/20	4-2	185/115
4-3	20/115	4-1	185/115
4-3	105/67	4-4	219/145
4-3	190/60	3-4	100/15
4-4	70/135	1-5	190/60
4-4	192/135	4-1	105/67
4-4	219/119	4-2	105/67
4-4	219/145	4-3	105/67
4-4	280/13	2-5	20/115
4-4	280/251	3-5	20/20
4-5	70/135	1-5	100/120
4-5	280/13	2-5	185/115
4-5	280/256	3-5	165/15
1-5	20/20	1-6	185/115
1-7	185/20	1-5	20/115
1-7	20/20	1-8	185/115
1-8	185/20	1-6	20/115
1-8	185/115	1-7	20/20
1-6	185/115	1-5	185/115
1-6	20/115	1-8	185/20
